Filename:[anno]	 Range: 2408bd0000-2408bf0000	 Memory Size: 0.12 MB	 Active Pages: 2
Filename:[anno]	 Range: 2408bf0000-2408c04000	 Memory Size: 0.08 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408c04000-2408c0c000	 Memory Size: 0.03 MB	 Active Pages: 1
Filename:[anno]	 Range: 2408c0c000-2408c20000	 Memory Size: 0.08 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408c20000-2408d54000	 Memory Size: 1.20 MB	 Active Pages: 37
Filename:[anno]	 Range: 2408d54000-2408d60000	 Memory Size: 0.05 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408d60000-2408db4000	 Memory Size: 0.33 MB	 Active Pages: 10
Filename:[anno]	 Range: 2408db4000-2408dc0000	 Memory Size: 0.05 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408dc0000-2408df0000	 Memory Size: 0.19 MB	 Active Pages: 2
Filename:[anno]	 Range: 2408df0000-2408e04000	 Memory Size: 0.08 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408e04000-2408e0c000	 Memory Size: 0.03 MB	 Active Pages: 2
Filename:[anno]	 Range: 2408e0c000-2408e20000	 Memory Size: 0.08 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408e20000-2408e74000	 Memory Size: 0.33 MB	 Active Pages: 5
Filename:[anno]	 Range: 2408e74000-2408e80000	 Memory Size: 0.05 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408e80000-2408f48000	 Memory Size: 0.78 MB	 Active Pages: 20
Filename:[anno]	 Range: 2408f48000-2408f50000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408f50000-2408f78000	 Memory Size: 0.16 MB	 Active Pages: 1
Filename:[anno]	 Range: 2408f78000-2408f80000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2408f80000-2408fcc000	 Memory Size: 0.30 MB	 Active Pages: 2
Filename:[anno]	 Range: 2408fcc000-2409004000	 Memory Size: 0.22 MB	 Active Pages: 0
Filename:[anno]	 Range: 2409004000-240900c000	 Memory Size: 0.03 MB	 Active Pages: 1
Filename:[anno]	 Range: 240900c000-2409020000	 Memory Size: 0.08 MB	 Active Pages: 0
Filename:[anno]	 Range: 2409020000-240905c000	 Memory Size: 0.23 MB	 Active Pages: 0
Filename:[anno]	 Range: 240905c000-2409060000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2409060000-24090ac000	 Memory Size: 0.30 MB	 Active Pages: 5
Filename:[anno]	 Range: 24090ac000-24090b0000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24090b0000-24090f4000	 Memory Size: 0.27 MB	 Active Pages: 0
Filename:[anno]	 Range: 24090f4000-2409100000	 Memory Size: 0.05 MB	 Active Pages: 0
Filename:[anno]	 Range: 2409100000-2409134000	 Memory Size: 0.20 MB	 Active Pages: 2
Filename:[anno]	 Range: 2409134000-2409140000	 Memory Size: 0.05 MB	 Active Pages: 0
Filename:[anno]	 Range: 2409140000-2409184000	 Memory Size: 0.27 MB	 Active Pages: 10
Filename:[anno]	 Range: 2409184000-2409190000	 Memory Size: 0.05 MB	 Active Pages: 0
Filename:[anno]	 Range: 2409190000-24091c0000	 Memory Size: 0.19 MB	 Active Pages: 4
Filename:[anno]	 Range: 24091c0000-2409204000	 Memory Size: 0.27 MB	 Active Pages: 0
